title,type,release_year,genres,platform,content_rating,imdb_rating,imdb_votes,country,tconst
Go Figure,Movie,2005,Coming of Age | Sports,Disney+,TV-G,,,,
Going to the Mat,Movie,2004,Coming of Age | Sports,Disney+,TV-G,,,,
Good Luck Charlie,TV Show,2009,Comedy | Coming of Age | Family,Disney+,TV-G,7.1,26566.0,IN,tt1415889
"Good Luck Charlie, It's Christmas!",Movie,2011,Comedy | Coming of Age | Family,Disney+,TV-G,,,,
Goof Troop,TV Show,1992,Animation | Comedy | Kids,Disney+,TV-Y7,6.8,9845.0,IN,tt0103428
Gotta Kick it Up,Movie,2002,Coming of Age | Dance | Drama,Disney+,TV-G,,,,
Grand Canyonscope,Movie,1954,Animation | Comedy | Family,Disney+,TV-G,,,,
Grasshopper and the Ants,Movie,1934,Animation | Family | Music,Disney+,TV-G,,,,
Great Migrations,TV Show,2010,Animals & Nature | Docuseries | Survival,Disney+,TV-PG,8.0,922.0,IT,tt1769803
Greyfriars Bobby,Movie,1961,Animals & Nature | Drama | Family,Disney+,TV-G,7.2,2028.0,CA,tt0054944
Gus,Movie,1976,Animals & Nature | Comedy | Family,Disney+,G,5.7,2330.0,US,tt0074599
Halloweentown,Movie,1998,Action-Adventure | Comedy | Coming of Age,Disney+,TV-PG,,,,
Halloweentown High,Movie,2004,Action-Adventure | Comedy | Fantasy,Disney+,TV-G,,,,
Halloweentown II: Kalabar's Revenge,Movie,2001,Action-Adventure | Fantasy,Disney+,TV-PG,,,,
Handy Manny,TV Show,2006,Animation | Kids,Disney+,TV-Y,5.6,3086.0,DK,tt0451460
Hannah Montana,TV Show,2005,Comedy | Coming of Age | Kids,Disney+,TV-G,5.4,46372.0,PH,tt0493093
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Movie,2008,Concert Film | Documentary | Music,Disney+,G,2.7,12283.0,IN,tt1127884
Hannah Montana The Movie,Movie,2009,Comedy | Coming of Age | Drama,Disney+,G,4.8,48101.0,IT,tt1114677
